朱时茂	陈佩斯
胡适	韦莲司
任剑辉	陈锦棠
花荣	宋江
吕彦直	吕彦深
陈碧英	董必武
庾澄庆	庾家麟
商芳臣	李艳芳
张怡宁	徐威
范瑞娟	吕瑞英
巩汉林	黄宏
蒋梦婕	李小婉
连胜文	连战
刘永行	刘永言
卫子夫	汉武帝
王志文	陈坚红
赵本山	宋丹丹
管虎	高晓松
邓亚萍	林志刚
吴菱仙	时小福
毛加恩	白歆惠
杜必书	张小凡
戴志诚	刘伟
朱仲丽	朱剑凡
陈国邦	罗敏庄
张春彦	李多奎
梁醒波	任剑辉
谢天华	朱永棠
俞振飞	言慧珠
吕后	刘邦
蔡氏	刘表
沈葆桢	林则徐
常佩业	马季
关平	关兴
张梅	邓颖超
乔冠华	章含之
张飞	刘备
袁和平	袁小田
赵荣琛	程砚秋
章亚若	蒋孝严
许广平	鲁迅
柯蓝	何炅
林彪	吴法宪
范瑞娟	张桂凤
多明戈	帕瓦罗蒂
唐杰忠	张杰尧
柳如是	钱谦益
郭德纲	张文顺
周继红	田秉毅
刘雪华	邓育昆
韩庚	吴尊
徐天红	张桂凤
蒋介石	戴笠
李荣威	尚长荣
蒋方良	蒋经国
朱丹	任剑辉
余音	焦裕禄
郑渊洁	郑洪升
张震	杨扬
沈葆桢	林则徐
潘金莲	武松
袁绍	袁熙
贾宝玉	尹桂芳
戚雅仙	陆锦花
杨珉	杨宝森
大S	许雅钧
乔治	句号
亨利四世	玛丽
李宏平	陈肖霞
龙云	李培莲
沈阳	黄永胜
兽兽	张博
李嘉明	李嘉欣
范瑞娟	竺水招
杨步伟	赵元任
努尔哈赤	代善
张默	罗秀春
侯勇	潘雨辰
王允	董卓
华山	令狐冲
萧淑芳	吴作人
李文华	唐杰忠
韩庚	罗志祥
房仕胜	房道龙
邓颖超	孙维世
曹操	张绣
冯沅君	陆侃如
何音	柯蓝
孙匡	曹操
陈永妍	李宁
丁柔安	胡瓜
张桂凤	董柯娣
孙穗芬	邓颖超
邓颖超	周恩来
庄泳	王敏
王夫人	贾政
张飞	刘备
毕福剑	毛毛
洪煦榆	洪天照
郑允浩	赵晨浩
秦海璐	秦子涵
陈幸妤	吴淑珍
傅彪	张秋芳
毛泽民	毛泽覃
杨秀清	萧朝贵
关公	筱芳锦
谭正岩	王平
宋妍	姜武
刘熙	刘曜
刘半农	钱玄同
洪晃	章含之
叶群	林立果
林晓霖	张梅
洪天明	洪金宝
赵伟洲	杨少华
于小伟	高圆圆
关正明	李蔷华
赵佩茹	赵希贤
李昌镐	曹薰铉
李冰冰	林韦君
罗家英	汪明荃
吕大临	吕大忠
陆锦花	张桂凤
张国焘	杨子烈
赵清阁	封凤子
裘盛戎	孟俊泉
傅全香	尹桂芳
张晋	蔡少芬
朱光祥	王奇
浦熙修	袁子英
黄子佼	夏宇童
郑伊健	梁咏琪
黄月山	李吉瑞
张洛君	韩志杰
许爱周	许世勋
孟海	林正英
何泽慧	何泽瑛
姚月明	尹桂芳
艾青	高瑛
张丹峰	洪欣
谢婷婷	文静
安东尼奥	卡斯特罗
吕布	董卓
陆雪琪	曾书书
毛泽东	毛泽覃
刘若英	吴彦祖
梁启超	蔡尚思
孙海涛	李健
杨静	詹才芳
圣姑	李逍遥
罗振玉	罗福颐
吴君如	陈可辛
赵本山	高秀敏
戴碧芝	张柏芝
陈玉成	陈得才
郭富城	熊黛林
苏蓬	万方
平	张洁雯
郭德纲	李菁
燕青	张二鹏
宋哲元	张自忠
栾云平	杨进明
女	比莉
刘备	公孙瓒
成龙	房祖名
宋美龄	宋子文
文成公主	松赞干布
梁醒波	红线女
刘欢	卢璐
朱玲玲	霍启山
林肯	童芷苓
赵晨浩	郑允浩
朱卫茵	李宗盛
刘威	杨若兮
刘嘉玲	王菲
关聪	赵雅芝
徐帆	冯思语
宋远桥	俞岱岩
李咏	哈文
黄伯俊	侯佩岑
李伯祥	师胜杰
谭鑫培	谭元寿
李宗盛	刘若英
沈湘	殷秀梅
曹宪	伏寿
赵薇	汪雨
蔡少芬	关咏荷
唐杰忠	赵炎
邵滨孙	筱文滨
班超	班彪
吴萱	王葆仁
江钰源	邓琳琳
古晨	孙悦
王晓临	李多奎
刘学仁	张伯勋
邱淑贞	沈嘉伟
杨澜	吴征
陈晓旭	陈晓阳
周邦彦	李师师
马乃西	马英九
刘嘉玲	梁朝伟
王安忆	汪祖荣
晏紫	郑洁
普京	柳德米拉
张辽	关羽
杨谨华	林韦君
薄熙来	薄一波
李敏	毛泽东
刘禅	刘备
费俊龙	翟志刚
陈昊苏	陈毅
戴军	张卫健
赵兰坤	连震东
赵晨浩	王朔
铁扇公主	牛魔王
胡景翼	胡彦麟
秋桐	贾琏
李克农	周恩来
钱三强	何泽慧
姚沁蕾	姚明
毛甜懿	毛泽东
普京	柳德米拉
赵兰坤	连战
杨得志	张爱萍
潘金莲	武松
秦始皇	蒙毅
任剑辉	任冰儿
戴志诚	杨蕾
王光美	王光英
田亮	叶一茜
刘表	张允
姚玉英	关公
胡美	朱芳雨
慕容盛	慕容宝
洪金宝	刘德华
大兵	奇志
赵玉柱	赵建铭
蔡畅	孙维世
孔祥熙	孔令侃
孙权	孙策
邓颖超	周恩来
赵本山	范伟
邵亦波	邵振平
赵明诚	李清照
李先念	林佳楣
曹操	曹宪
李菁	何云伟
李望知	薄熙来
石达开	韦昌辉
Davis	Bolt
何泽慧	钱三强
袁谭	曹操
孙立	顾大嫂
小林光一	小林觉
容星桥	容闳
贾琏	尤二姐
陈法蓉	洪欣
朱德	毛泽东
朱安婕	朱慧珍
卞兰	隋菲菲
安东尼	詹姆斯
毛泽建	毛泽东
阎乐	秦二世
蒋纬国	宋美龄
谢虹雯	杨宝森
梁冠华	张子健
元奎	洪金宝
姚水娟	袁雪芬
曹宇	曹彰
洪天照	曹恩玉
关公	关平
周培源	冯瑛
张舒雅	郭羡妮
张柏芝	戴碧芝
马鸿宾	马福祥
杨采妮	邱韶智
缪敏	方志敏
李天焕	罗瑞卿
叶志铭	叶玉卿
后羿	嫦娥
刘伟	李增瑞
香菱	薛蟠
赵元同	梁静茹
金正哲	金正日
袁伯祯	袁克齐
于涛	任讷
林风眠	李可染
廖凤舒	廖仲恺
郑洁	晏紫
金正日	成惠琳
黄毅清	黄奕
女	毛岸青
李香凝	李小龙
金正日	金正男
顺治	康熙
郭达	蔡明
甄妮	傅声
卞氏	曹操
郭文俊	蒋兰
牛群	冯巩
郑智	邵娜
徐子淇	李兆基
韩鹏	朱广沪
成吉思汗	窝阔台
少女时代	徐珠贤
钱学森	钱永真
任剑辉	梁醒波
洪秀全	杨秀清
刘永行	刘永好
于右任	宋庆龄
安娜	陈数
秦良玉	马千乘
李菁	何云伟
潘长江	巩汉林
邓浩洪	邓世昌
颜珍	方子哥
杨秀清	洪秀全
孔东梅	王海容
佘诗曼	郑嘉颖
张敬修	张居正
解珍	解宝
裘盛戎	李鸣盛
李永波	田秉毅
李渊	隋炀帝
曹操	曹冲
吴祖光	新凤霞
许氏	许冠杰
陈婉珍	黎婉华
陈致中	陈水扁
许晋亨	许世勋
黄铁良	张载
赵本山	章子怡
田汉	聂耳
张艾嘉	罗大佑
郭德纲	徐德亮
曹云金	何云伟
何超云	何超莲
孙海涛	李健
林徽因	梁再冰
英达	英如镝
马富禄	袁世海
廖仲恺	何香凝
弗洛伊德	荣格
姜昆	李文华
张舒雅	李亚男
周瑜	孙权
余叔岩	贾洪林
鲁迅	刘半农
汤唯	宋慧乔
韩庚	范冰冰
周少麟	周信芳
洪秀全	冯云山
林晓峰	林海峰
袁雪芬	徐玉兰
陈婷	张艺谋
郭靖	武修文
吕碧城	吕美荪
阿峰	刘晓庆
陆毅	鲍蕾
李宗仁	马佩璋
鲍蕾	鲍莉
毛岸青	刘思齐
罗瑞卿	聂荣臻
金敬姬	金正男
毛岸青	邵华
伦道夫	丘吉尔
查品珍	金庸
竺基焕	尹桂芳
叶莉	姚沁蕾
巩汉林	赵本山
韩长宝	娄廷玉
胡十	张蓉芳
胡思杜	罗尔纲
贺龙	贺捷生
毛泽东	林彪
姜妙香	陈琳
邓丽君	成龙
江钰源	杨伊琳
袁日初	袁振威
顺治	康熙
玛丽	萨科齐
鲁肃	曹操
王筱翠	王杰
范伟	张国立
陆士嘉	张克澄
许世友	雷明珍
王仁甫	季芹
杨秋玲	王晓临
杨奇军	佟守本
孔从洲	杨虎城
张翠山	张三丰
郑安仪	官晶华
钟镇涛	章小蕙
刘永言	刘永行
周华健	李宗盛
刘倩婷	李丞责
杨宝森	谢虹雯
于谦	何云伟
刘备	夏侯霸
马季	唐杰忠
袁和平	袁日初
贾静雯	苏有朋
梁醒波	任剑辉
孙菊仙	金少梅
公孙弘	董仲舒
李世济	李浩天
许广平	鲁迅
江珊	高曙光
陶经	罗嘉良
周慧敏	陈法蓉
王若伊	刘诗涵
诸葛亮	刘备
罗倩文	张国立
周总理	侯喜瑞
诸葛亮	诸葛瞻
赵子龙	张苞
马钰	王重阳
小S	林志颖
杜聿明	周总理
蒋孝勇	蒋介石
宋宁	周迅
谢虹雯	杨宝森
何念慈	张琼姿
董洁	潘粤明
李前宽	肖桂云
袁雪芬	张桂凤
薛绍	太平公主
贺玉钦	王铁侠
李应生	李沛基
唐韵	马景涛
韦昌辉	萧朝贵
杨逍	张无忌
陈毅	胡兰畦
李戡	李敖
赵本山	王家卫
李敖	李文
女	杨国强
曹霖	曹丕
齐秦	朱时茂
张辽	孙权
谭政	罗荣桓
包庭政	包伟铭
程砚秋	李世济
夫差	西施
父	李荣保
陈秉升	陈鸿烈
蒋介石	白崇禧
丫蛋	王金龙
杨化然	佟守本
敬一丹	王尔晴
李秀成	陈玉成
曹操	蔡文姬
刘坚	朱德
曹昂	曹操
贺绿汀	李德伦
梅兰芳	杨宝森
元彪	洪金宝
何云伟	曹云金
蒋介石	王采玉
李连杰	吴京
郑氏	高长恭
刘备	军
李泽楷	梁洛施
马兰	余秋雨
范冰冰	赵晨浩
夏金桂	薛蟠
叶群	林豆豆
赵炎	李文华
李娜	晏紫
吴文藻	冰心
大兵	奇志
袁术	袁霸
侯耀文	侯宝林
女	陈叔宝
果素瑛	程砚秋
林徽因	梁思成
徐乃锦	蒋友梅
洪金宝	洪天照
郭荣启	常宝霖
洪秀全	洪天明
郭英丽	桑振君
马连良	马小曼
毛世来	李世芳
杨澜	吴征
蔡畅	向警予
张君秋	荀慧生
章亚若	蒋经国
韦昌辉	石达开
武三娘	武敦儒
戴宗	武松
华	甄妮
葛洪	郑隐
任剑辉	罗艳卿
甄英莲	甄士隐
伍文忠	丁俊晖
郭槐	贾充
濮方	宋丹丹
金庸	耶律齐
侯勇	潘雨辰
霍震寰	陈琪琪
李渊	柴绍
李恪	李泰
张君秋	童芷苓
六小龄童	闫怀礼
李小龙	李海泉
徐尚田	叶步青
筱兰芳	陆锦娟
傅明宪	柏安妮
蒋大为	张佩君
徐玉兰	陆锦花
马季	赵炎
林青霞	陈荟莲
吴文藻	吴泽霖
郭和夫	安娜
曹丕	诸葛亮
宋楚瑜	高
蒋方良	蒋经国
肖桂云	李前宽
廖凤舒	廖承志
孙中山	孙科
段正淳	段誉
司马炎	晋惠帝
车晓	陶虹
陈其美	陈立夫
陶晶莹	李李仁
黄药师	冯默风
曹休	曹操
梁洛施	李嘉诚
曹操	张辽
吴祖强	李德伦
陈冠希	蔡依林
潘茜	老狼
金贤珠	宋承宪
陈香梅	陈纳德
刘源	栾云平
邱士楷	林志玲
潘金翠	李民桥
郭全宝	郭启儒
蒋方良	蒋经国
刘宝瑞	郭荣启
戴志诚	李文华
曹操	荀彧
刘邦	刘恢
曹睿	甄洛
杜聿明	杜致礼
张庭	林瑞阳
凌爱珍	小筱月珍
张桂凤	董柯娣
沈伐	刘德一
戴志诚	冯巩
王鸿寿	鲁肃
黄晓明	韩庚
闫妮	赵晨浩
胡斐	苗若兰
李小龙	李海泉
任剑辉	梁醒波
梁洛施	李泽楷
郭启儒	侯宝林
梅婷	申思
毛泽东	毛甜懿
朱岚	陶勇
富兰克林	本杰明
黄兴	徐宗汉
曹冲	曹操
许广平	鲁迅
武敦儒	武修文
孙悟空	猪八戒
金敬姬	金正恩
徐玉兰	金喜全
叶群	林彪
王力宏	吴尊
旷伏兆	刘秉彦
李宗仁	萧一山
王令尘	张艾嘉
茅善玉	孙徐春
董氏	郭女王
许慧欣	郭品超
徐德亮	刘源
杨迪	水均益
王小蓉	张立媛
戴军	张茜
萧克	萧星华
郭启儒	郭全宝
刘永好	刘永美
马桂元	马三立
章亚若	章浩若
王婉华	张慧芳
薛福成	曾国藩
张桂凤	徐玉兰
郭靖	金庸
卡米拉	艾莉丝
高	申雪
彭于晏	蔡依林
赵晨浩	张靓颖
女	王蒙
李蔷华	俞振飞
刘邦	萧何
张幼仪	徐志摩
马世莉	辛晓琪
典韦	吕布
白崇禧	马佩璋
黄铁良	陈鸣志
朱雨辰	文章
史瑞楚	陈光
徐向前	徐小岩
罗家英	姜文
韩庚	郑允浩
赵守钰	刘仲容
于凤至	赵一荻
王羽	刘德华
曹操	曹昂
陆侃如	冯沅君
陈琦	夏梦
童芷苓	张君秋
孔祥熙	宋蔼龄
于小伟	高圆圆
允浩	周杰伦
伏羲	女娲
杜美如	杜月笙
金巧巧	文章
赵晨浩	科比
钱钟书	钱福炯
于谦	郭德纲
郭台强	郭台铭
大乔	小乔
犬夜叉	杀生丸
姚襄	姚弋仲
李宗盛	五月天
程咬金	程知节
纪晓芙	丁敏君
郭蔼明	刘青云
李宏	郭瑶瑶
曹植	曹丕
梁洛施	李泽楷
明	李小龙
曹操	曹冲
吴作人	徐悲鸿
范冰冰	韦小宝
舒淇	王朔
吕丽君	刘銮雄
武松	西门庆
大S	汪小菲
李亚鹏	李嫣
林凤娇	成龙
金正恩	李雪主
犬夜叉	戈薇
梁再冰	梁思成
李海泉	麦炳荣
石达开	陈玉成
李少春	李宗义
吕美荪	吕惠如
姚滨	朱芳雨
李世芳	程砚秋
王琳娜	孙志伟
老狼	高晓松
刘备	关羽
周信芳	袁世海
成龙	房仕德
张艾嘉	王靖雄
邓婕	张国立
尹小芳	冯允庄
邓婕	郝彤
孙尚香	胡军
赵晨浩	郑允浩
多明戈	帕瓦罗蒂
翁家明	俞小凡
赵岭	袁立
鲁迅	周作人
周星驰	于文凤
罗艳卿	谭倩红
张岚芳	孙毓敏
何晴	许亚军
毕春芳	杨飞飞
杨澜	吴征
张克群	陆士嘉
冯巩	贾玲
杨业	佘太君
郭芙	武修文
谢公佑	谢侠逊
夏侯敦	夏侯楙
成钧	赵启民
杨钰莹	毛宁
范瑞娟	徐天红
毛泽东	孔令华
曹丕	曹冲
朱德	章伯钧
祁宏	沈谦倩
郭德纲	李根
女	傅家俊
邓稼先	许鹿希
毛泽东	林彪
周扬	夏衍
孙悟空	白龙马
蒋孝勇	蒋经国
林志玲	邱士楷
谢觉哉	王定国
女	许平君
周润发	周星驰
洪君彦	洪晃
张文顺	郭德纲
苏岩	罗嘉良
周渝民	大S
赵晨浩	曾志伟
曹真	司马懿
蒋孝勇	方智怡
汪洋	赵玉芳
左宗棠	咸丰
郭台铭	曹斯杰
杨不悔	金庸
黄奕	赵薇
罗振玉	罗福成
李渊	李元吉
郭台铭	俞敏洪
郁达夫	王映霞
陈群	孔融
杨珉	杨宝森
赵本山	吴孟达
章汉夫	龚普生
丁是娥	袁雪芬
关正明	董少英
朱时茂	陈佩斯
曾馨莹	郭台铭
赵吟秋	贾廷聚
林立果	林彪
范伟	赵本山
李青蕙	王云阶
钟镇涛	范姜
刘天佐	方慧
贺龙	聂荣臻
唐玄宗	杨贵妃
邓育昆	刘雪华
荀彧	曹操
赵薇	汪雨
曹衮	曹操
武修文	武三通
邓榕	邓小平
曹仁	曹操
贾乃亮	李小璐
张国立	张默
金正日	金日成
李元吉	李世民
徐宗汉	黄兴
陈友	钟镇涛
徐悲鸿	孙多慈
张三丰	张翠山
邓友梅	茹志娟
陶喆	岑洁仪
张飞	孙权
高	景海鹏
吴孟达	周星驰
侯军	侯耀华
杨惠妍	女
石达开	冯云山
高剑父	关山月
张庆林	杨东
容星桥	容闳
夏侯惇	夏侯楙
罗福苌	罗福成
李德全	蒋介石
林淑如	郭台强
段正淳	段延庆
吴孟达	周星驰
李斯	张苍
五月天	玛莎
贾雨村	甄士隐
诸葛亮	赵云
曹操	曹丕
冯轲	张靓颖
麦炳荣	梁醒波
尚和玉	韩长宝
洪学智	洪虎
费玉清	张菲
李海泉	李小龙
连战	连惠心
秦汉	林青霞
曹髦	曹霖
汉武帝	卓文君
卡拉	布吕尼
杜世成	李薇
宋美龄	蒋介石
令狐冲	任盈盈
武敦儒	武三娘
黄桂秋	张春彦
夏凌翔	黄希庭
老舍	文章
杨步伟	赵元任
梅兰芳	于连泉
高庆奎	杨小楼
慕容博	慕容复
朱岚	陶勇
苗人凤	苗若兰
林心如	林艾为
杰克	玛丽
黄渤远	何音
佟晨洁	韦德
赵一曼	陈达邦
冯云山	杨秀清
水均益	水亦诗
军	张顺
严慰冰	陆健健
王静	聂卫平
吴建豪	朱孝天
蒋雯丽	顾长卫
阿信	五月天
蒋友青	蒋孝勇
温大	惠美子
刘思齐	毛泽东
冯巩	贾玲
汪小菲	吕婉柔
谭元寿	谭小培
韩信	项羽
李济深	许崇清
马季	常佩业
林平之	岳灵珊
黄光裕	黄燕虹
姚鼐	姚氏
肖桂云	李前宽
卓琳	邓小平
胡宝善	胡军
程砚秋	赵荣琛
林彪	叶群
兽兽	张博
吴祖光	新凤霞
赵维仁	赵忠尧
郭兰英	方静
陈群	夏侯惇
王近山	杜义德
赵玉芳	赵本山
甄洛	曹操
凌爱珍	筱文滨
刘备	夏侯霸
白歆惠	阮经天
徐悲鸿	徐静斐
陈致中	陈幸妤
曹训	曹真
虞姬	项羽
张元素	李杲
杨小娟	吕善婷
李嫣	李亚鹏
郭富城	韩庚
金艳芳	范瑞娟
恩格斯	马克思
薄熙来	薄洁莹
钟镇涛	叶智强
朱祝芬	周雅琴
张君秋	杨宝森
王平	李伯祥
赵飞燕	汉成帝
孙毓敏	龚苏萍
李桂春	梅兰芳
叶群	林立果
蒋碧薇	孙多慈
郭英丽	桑振君
谢霆锋	郭富城
刘德智	于俊波
曹云金	何云伟
徐悲鸿	黄君璧
潘阳	巩天阔
张静江	戴季陶
黄志忠	何音
夏侯尚	曹彰
徐帆	王志文
杨进明	侯耀华
李敬元	李孝贞
钱永真	钱永刚
林文慧	梁汉文
俞步兰	程继先
刘永行	刘永好
李彩华	李彩桦
周作人	周吉宜
赵岭	袁立
袁振威	袁小田
刘谦初	刘思齐
朱雨辰	汤唯
梁春	梁赞
任剑辉	陈锦棠
张桂凤	袁雪芬
宋江	吴用
吴飞霞	吴宇森
黄心琳	刘谦
吴积逊	江欣燕
灭绝师太	丁敏君
曾志伟	洪金宝
邓长富	邓丽君
张学良	吕正操
郭全宝	刘宝瑞
夏侯玄	夏侯尚
曹操	曹乘
李赛凤	汪小莉
黄汉伟	赵雅芝
凌宝儿	周文姬
穆人清	袁承志
晏紫	郑洁
孙亮	孙权
查传诗	金庸
金建杭	马云
犬夜叉	戈薇
杜月笙	蒋中正
陈富瑞	孙盛文
黄遵宪	李鸿章
李世民	李渊
谢才萍	罗璇
查尔斯	卡米拉
陈宝珠	陈宝仪
孙海涛	李健
吴昌硕	陈半丁
邓永锵	邓乙芳
何超盈	梁安琪
郑允浩	韩庚
冯小刚	李小璐
李前宽	肖桂云
关羽	汉献帝
唐生明	唐生智
胡风	梅志
赵本山	范伟
瞿秋白	杨之华
葛优	张艾嘉
顾正秋	张正芬
陈致中	吴淑珍
吴孟达	周星驰
陈水扁	吴淑珍
于镜波	戴维
冯跋	冯翼
周韵	姜文
刘诗雯	张继科
蒋纬国	宋美龄
李晨	张馨予
陈丹淮	粟惠宁
骆玉笙	刘宝全
夏侯敦	赵云
杨少华	朱阔泉
侯耀华	侯宝林
钟镇涛	章小蕙
孙策	袁术
武三通	武敦儒
宋祖德	金巧巧
顺治	康熙
范瑞娟	傅全香
曹宪	曹节
林志颖	陈若仪
尹桂芳	范瑞娟
罗艳卿	任剑辉
邵华	毛泽东
谭鑫培	谭小培
李恪	唐太宗
李恒	胡耀邦
杜十娘	李甲
潘长江	杨云
蒋方良	章亚若
刘伯明	费俊龙
女	李顺圭
郭富城	熊黛林
吴建豪	言承旭
彭壮壮	易小准
费麒	华
阎乐	秦二世
李敖	王尚勤
郭春山	萧长华
韦小宝	双儿
公孙瓒	赵云
郭焱	丁宁
薄熙永	薄一波
蒋怡	翁狄森
李沛文	黄昌贤
刘伯承	杜义德
尤三姐	贾敬
靳艳玲	张小兰
任剑辉	谭兰卿
马连良	余叔岩
刘文彩	刘湘
周恩来	罗炳辉
张子健	梁冠华
方美芳	方伟
范姜	钟镇涛
袁祥仁	袁小田
李晓霞	郭跃
江冬秀	胡适
蒋孝勇	蒋经国
张小巧	范瑞娟
曹髦	曹丕
霍英东	林建岳
刘德一	沈伐
哀帝	王莽
尤二姐	贾琏
甘宁	孙权
朱桂芳	阎岚秋
翁家明	俞小凡
小S	蔡康永
李泽楷	梁洛施
王老赏	周兆明
曹炽	曹纯
李裹儿	女
许晋亨	何超琼
庞伟	杜丽
孙峻	孙和
蒋碧微	徐悲鸿
梁伯熙	钟少珍
刘备	张飞
陈德霖	余叔岩
邓世昌	邓秀蝉
胡适	江冬秀
张学浩	董翠娜
鲍令晖	鲍照
马富禄	大元
房道龙	房仕胜
朱慧珍	女
林涵	朱丹
林徽因	梁思成
张玉林	关玉璞
曹操	曹冲
许士芬	许世勋
郭启儒	侯宝林
梁醒波	余丽珍
陈幸妤	赵建铭
章子怡	王家卫
韩鹏	郑智
周秉均	吴小莉
宋卫平	夏一波
陈建斌	蒋勤勤
刘正华	陈铭德
田慧	梅葆玖
张辽	关羽
王倚惠	蒋纬国
李健	高红岩
李茏怡	李倩
赵一荻	张学良
武三通	武修文
王熙凤	贾琏
松赞干布	文成公主
俞振飞	李慧芳
汪明荃	罗家英
杨宪益	戴乃迭
张曼玉	张国荣
刘半农	鲁迅
齐秦	方美芳
姚冶诚	蒋介石
侯世宏	林月云
杨威	杨云
杨永晴	陈冠希
袁和平	袁小田
小钟	张克帆
许晋亨	许士芬
多尔衮	豪格
潘阳	潘长江
李文华	姜昆
黄帝	女娲
姜东润	权甲龙
刘备	赵子龙
蒋友青	蒋经国
邵华	毛岸青
完颜萍	武三娘
李德伦	斯特恩
郭晓玲	曹斯杰
秦怡	金捷
王文娟	吕瑞英
徐峥	猪八戒
郭守敬	张文谦
周兆明	王老赏
王夫人	贾母
丁子高	杨千嬅
刘宝瑞	唐杰忠
孙毓敏	李翔
刘伯坚	秦德君
张飞	张绍
尤小刚	石小群
冯翼	宋夫人
袁世海	李少春
赵又廷	阮经天
贾乃亮	海岩
张学良	张闾蘅
邱淑贞	沈嘉伟
洪天照	洪金宝
狄波拉	谢霆锋
李盛泉	田金萍
曹操	关羽
彭真	周总理
木吒	哪吒
戚雅仙	朱祝芬
郑少秋	官晶华
武则天	太平公主
陶斯亮	曾志
蔡卓妍	赵晨浩
毛泽东	李敏
阎秋霞	白云鹏
萧红	萧军
王熙凤	尤三姐
陈温	陈群
巩天阔	潘阳
李文华	姜昆
鲁迅	萧红
袁和平	袁日初
杨维	张洁雯
桑振君	刘伯玲
元奎	元华
关羽	袁绍
曹操	甘宁
郭启儒	侯宝林
贾宝玉	贾蓉
李嘉欣	李嘉明
谢朝恩	王锡鹏
张震	张国柱
李裹儿	武崇训
霍慧芬	崔世安
毛俊辉	胡美仪
蒋经国	蒋孝文
女	古龙
毛泽东	朱德
关羽	张飞
赵元任	杨步伟
李世民	侯君集
扈尔汉	代善
蔡邕	蔡文姬
张默	罗倩文
陈莉莲	吴舜文
杨绛	钱钟书
王玉	宋德全
高峰	栾云平
李桂春	萧长华
蒋孝文	徐乃锦
李小璐	孙红雷
王又宸	龚云甫
王石	王江穗
林立果	林彪
孙权	甘宁
王学圻	王大庆
陈一冰	何雯娜
梅兰芳	吴菱仙
刘琮	蔡氏
武敦儒	完颜萍
李幼邻	李宗仁
霍震宇	霍英东
王耀武	女
张亚雯	李孝贞
林文慧	梁汉文
张育汉	蓝正龙
欧弟	张学友
陈果夫	宋子文
太祖	元太祖
李丹宇	薄熙来
周恩来	邓颖超
汤唯	玄彬
林瑞阳	张庭
袁雪芬	马季
王熙凤	贾琏
胡军	孙权
曹丕	太祖
武松	潘金莲
刘备	孙尚香
林平之	岳灵珊
赵本山	宋慧乔
徐兰沅	李洪春
杨丞琳	林依晨
许志安	余德琳
冯景兰	任继愈
李克勤	卢淑仪
庄佳容	尼亚
高	杨小楼
赵建铭	赵翊安
父	麦嘉轩
曹丕	曹植
鲁迅	周吉宜
李根	李云杰
郭沫若	于立群
王凡	周雅菲
董访	袁绍
侯军	侯耀文
吕燕妮	霍震霆
甄珍	韩鹏
李香凝	李小龙
蔡卓妍	赵晨浩
邓丽君	成龙
蒋碧薇	张道藩
卡卡	迪甘
曾志	夏明震
洪恒珠	陈水扁
霍启刚	郭晶晶
黄宏	赵丽蓉
黄宏	巩汉林
张美娟	方传芸
罗浩	宋祖英
丁宁	刘诗雯
曾志伟	王美华
王梦云	李多奎
李少楼	平
巩汉林	赵丽蓉
胡兰成	张爱玲
章含之	洪君彦
朱逢博	女
胡小玲	陈赫
毛泽东	李政道
刘翔	刘学根
袁天罡	李世民
张小巧	章瑞虹
香菱	王熙凤
杨得志	李志民
古龙	郑小龙
唐玄宗	唐睿宗
张敬轩	关智斌
齐秦	方美芳
殷素素	殷野王
曹棘	曹宪
父	萧楷成
薛伟森	桑兰
宋江	张飞
陈知建	军
谢亚龙	谢天竞
毛甜懿	刘滨
刘雪华	邓育昆
曹操	曹植
张惠妹	张雨生
蔡辰男	蔡万才
毛岸青	邵华
王敬之	谭雪
戴碧芝	谢霆锋
曹华	曹奂
孟凡博	王丽丽
俞樾	俞平伯
孔燕松	汪涵
黄宗江	黄宗洛
孙多慈	徐悲鸿
廖承志	廖仲恺
董仲舒	胡母生
玄彬	金泰熙
皇太极	代善
赵薇	李钰
张德武	侯震
罗志祥	林俊杰
蒋经国	宋美龄
金正男	金正恩
刘宝瑞	郭启儒
钟镇涛	范姜
黄旭	邢傲伟
同治	梅兰芳
黄毅清	黄奕
毛岸英	刘思齐
林晓霖	林彪
曾馨莹	郭台铭
薄熙来	薄熙永
于素秋	洪金宝
张静江	陈友仁
曹贵康	张庆林
张庆林	黄希庭
罗敏庄	陈国邦
宋子文	倪桂珍
蔡儒楷	蔡葆真
马幼禄	汪克义
洪君彦	章含之
孙中山	容星桥
曾志伟	曾宝仪
曹操	程昱
杨振宁	杜致礼
李前宽	肖桂云
金山	刘琪
马岳梁	吴公藻
郭晓玲	曹斯杰
吴楚帆	红线女
李泽楷	梁洛施
黄月英	黄承彦
庆	叶浅予
刘备	袁绍
张克澄	张维
徐大雯	谢晋
诸葛亮	关羽
秦岚	陆川
陈婷	陈剑
雪村	俞晴
冯弘	冯跋
丁子高	丁永方
周瑜	孙策
郑亚旗	郑渊洁
苏步青	胡和生
何超琼	邹世龙
何猷龙	何超盈
张无忌	殷梨亭
韦春花	韦小宝
朱孝天	言承旭
毛阿敏	张勇
张丰毅	张震
任剑辉	吕布
荀慧生	尚小云
郭台铭	曹斯杰
希特勒	戈培尔
时小福	同治
张懋修	张简修
龙剑笙	任剑辉
洪秀全	罗孝全
张伯驹	潘素
刘亚楼	毛泽东
毛泽东	罗瑞卿
杨采妮	邱韶智
巩汉林	潘长江
赵忠祥	陶虹
毛泽东	许德珩
李嘉欣	许晋亨
郭台铭	刘嘉玲
孙策	孙匡
帕瓦罗蒂	多明戈
王语嫣	王夫人
